mage_id,peak_counts,N_5,B_5,unc_5,N_10,B_10,unc_10
1010104,"(3920.8785900088806, 7969.963323840407)",14418.708252018363,29308.88404414509,0.09315519250022551,28204.72115224228,57331.68930946355,0.06660538448173214
1011005,"(4626.601908328599, 8766.959656224444)",17013.947660713053,32239.772448559594,0.034036687332315844,33281.32042633449,63064.85824040991,0.024336020198207752
1011105,"(10994.215381016338, 20987.57008611307)",40430.32203105489,77180.06131624873,0.023542867571861338,79086.55470725926,150973.4485149207,0.01683300419804877
1010905,"(3866.756235641357, 7527.18758362705)",14219.677749128981,27680.612708359247,0.04822454832410644,27815.393638524136,54146.5954589378,0.0344802527521719
1011004,"(2865.0269870335487, 5136.198586474929)",10535.900898707087,18887.94749511572,0.029712277187205417,20609.48468765187,36947.08866609873,0.02124409378335878
1010803,"(7806.304781837689, 15408.595759424783)",28707.043228134888,56663.842485347166,0.0401386048298778,56154.41655403281,110841.26599829619,0.028698853338184623
1011104,"(8978.529279478325, 17091.143572235538)",33017.80232187944,62851.27356133336,0.02540498194003887,64586.777904886716,122944.62263029406,0.01816440441431818
1010201,"(452.5060828447344, 885.5514804267118)",1664.0538698208197,3256.5426715716762,0.1497769987588082,3255.0887749626213,6370.187701051506,0.10708962454053507
1010906,"(4056.3339130210443, 7881.4081757977365)",14916.834051851118,28983.229776987922,0.04612603322788178,29179.11490773378,56694.670539358405,0.03297982748253995
1010804,"(11539.590621648618, 22670.11789892382)",42435.89458374476,83367.49239223491,0.03107458611734812,83009.69495051165,163076.80514691854,0.022218136213412596
1011007,"(5135.20105754084, 9652.511136651161)",18884.279164576183,35496.31512013127,0.030265926532498433,36939.91297198289,69435.04594146142,0.02163994962908861
1011103,"(1654.063319147235, 2922.319885408149)",6082.681695353159,10746.590816186532,0.03619475377507495,11898.45429123436,21021.61941346997,0.025879024311013847
1010302,"(567.8154104366333, 1062.6617765120543)",2088.094429893412,3907.851205886012,0.08802373850623403,4084.5629237591284,7644.225241261808,0.06293642672374924
1010703,"(37458.955320884284, 75006.21039214249)",137752.2246094333,275829.164282121,0.022629770667126244,269459.8583521686,539554.8982790626,0.016180145578183716
1010202,"(1644.5958080232597, 3276.540477578833)",6047.865702550631,12049.207884815201,0.09974443965917605,11830.350037269976,23569.69449389057,0.07131665530505239
