,Det Type,"Avg unc after 20 days
0.5uCi","Avg unc after 40 days
0.5uCi","Avg unc after 20 days
0.25uCi","Avg unc after 40 days
0.25uCi"
0,V,0.08822482039762103,0.0630801990281016,0.08822482039762103,0.0630801990281016
1,B,0.07215407546249732,0.05158971614053554,0.07215407546249732,0.05158971614053554
2,C,0.09262518036623227,0.06622642909538057,0.09262518036623227,0.06622642909538057
3,P,0.062063640694173985,0.04437511790619242,0.062063640694173985,0.04437511790619242
