,mage_id,det_name,N_5,B_5,unc_5,N_10,B_10,unc_10
0,1010104,V05266A,15859.136522688868,32239.772448559594,0.08900357304769069,31022.371457940168,63064.85824040991,0.06363700233967136
1,1011005,B00035A,18719.42510163624,35463.74969341555,0.03238994775668921,36617.438670210104,69371.3440644509,0.02315861162191567
2,1011105,P00573B,44481.599750720634,84898.0674478736,0.022407840934616435,87011.3393964473,166070.79336641278,0.01602146719681803
3,1010905,P00537A,15636.710582556789,30448.67397919517,0.046148703773029855,30587.27966547169,59561.255004831575,0.0329960367816189
4,1011004,B00032D,11588.917646202057,20776.74224462729,0.028338008684006013,22669.311630025808,40641.7975327086,0.020261500332794946
5,1010803,C00ANG4,31575.119169297723,62330.22673388187,0.03831438968098319,61764.71677996527,121925.3925981258,0.02739455082848581
6,1011104,P00538B,36331.29606771537,69136.40091746669,0.024150703958971544,71068.36873171538,135239.08489332348,0.017267603442372874
7,1010201,B00035C,1827.130196640841,3582.1969387288436,0.14607641181668463,3574.085611856576,7007.206471156656,0.104443727844142
8,1010906,P00538A,16400.731161906242,31881.55275468671,0.04421711976564489,32081.79547219172,62364.13759329425,0.031614966204470775
9,1010804,V00048B,46681.018805669744,91704.24163145838,0.0296158985078868,91313.6666269802,179384.48566161038,0.021175183625808048
10,1011007,B00061B,20774.461114422396,39045.9466321444,0.028837197026520274,40637.33536867723,76378.55053560756,0.020618416899543295
11,1011103,B00032A,6691.441952879456,11821.249897805183,0.03449620700107854,13089.262303435657,23123.781354816965,0.024664573909422248
12,1010302,B00091C,2298.551135814771,4298.636326474612,0.08344696984164679,4496.241459823583,8408.647765387988,0.05966406553370576
13,1010703,V04199A,151515.4406172468,303412.0807103331,0.021605710092140077,296382.3581263157,593510.3881069688,0.015447948622771117
14,1010202,C000RG1,6651.873395402517,13254.12867329672,0.09527736779724899,13011.861463462541,25926.663943279626,0.06812272664809126
15,1010101,V02160A,5655.967010911627,11463.030203932298,0.13961700856872009,11063.74923472864,22423.060707701297,0.09982529461131696
16,1011006,B00035B,19313.32726183544,36180.18908116132,0.02915852099409537,37779.18246357578,70772.78535868223,0.020848161542102825
17,1011002,B00002C,5681.480839726286,11104.810510059417,0.07988731118854214,11113.65734124316,21722.340060585637,0.05711893168930714
18,1010502,V08682A,45018.52366514588,90271.36285596686,0.04053511751637995,88061.62691330684,176581.60307314774,0.02898235744812786
19,1010702,V02166B,64451.22008175083,128959.08979423837,0.03268595089414234,126074.30974776234,252259.43296163963,0.023370252028088633
20,1010904,B00091D,9996.735803165348,19343.86346913575,0.053947916289259046,19554.81315196503,37838.91494424594,0.038572425325896
21,1011001,B00000D,1817.847226174567,3223.977244855959,0.0675186086976815,3555.927009234937,6306.48582404099,0.048275386173130874
22,1010901,B00002A,1465.122494564155,2507.5378571101905,0.06361093996705569,2865.9551667726587,4905.044529809659,0.045481427283185466
23,1010503,V09372A,230848.26600984245,470700.6777489701,0.025000596588881627,451566.8711429008,920746.9303099847,0.01787527139800732
